ACTEU;AGE;DDIPL;IDENT;NOI;SALMEE;SEXE;TPP
3;90;7;G1U1WUWX;01;;2;
1;60;5;G1U1WUXX;01;1400;1;1
1;21;3;G1U1WUYX;01;1560;1;3
1;28;7;G1U1WUZX;01;500;1;3
1;27;1;G1U1WV0X;01;;2;3
3;28;6;G1U1WV0X;02;;1;
1;43;5;G1U1WV1X;01;1700;1;1
1;35;5;G1U1WV1X;02;200;2;3
3;15;7;G1U1WV1X;03;;1;
1;42;7;G1U1WXLX;01;1600;2;1
1;43;1;G1U1WXLX;02;1400;1;1
1;42;6;G1V1W0DX;01;1350;1;1
1;50;6;G1V1W0DX;02;1500;2;1
1;22;7;G1V1W0DX;04;2000;1;3
3;80;7;G1V1W5XX;01;;1;
1;41;7;G1V1WBHX;01;;2;1
3;38;3;G1V1WBHX;02;;1;
1;45;4;G1V1WBIX;01;2000;2;1
3;61;7;G1V1WE9X;01;;2;
1;34;3;G1V1WEAX;01;1980;2;1
1;31;1;G1W116LY;01;1700;2;1
1;34;4;G1W116LY;02;2200;1;1
3;81;7;G1W11C5Y;01;;2;
1;51;7;G1W11C5Y;02;613;1;2
1;57;6;G1W11HPY;01;2500;2;1
1;57;5;G1W11HPY;02;1700;1;1
1;32;4;G1W11HPY;03;1400;2;1
1;41;3;G1W11KHY;01;2700;1;1
1;41;3;G1W11KHY;02;2900;2;1
3;62;7;G1W11N9Y;01;;2;
3;82;7;G1W11STY;01;;2;
1;56;5;G1W11YDY;01;2250;2;1
3;60;4;G1X1115Y;01;;1;
1;56;4;G1X1115Y;02;1600;2;1
1;48;4;G1X113XY;01;1800;2;2
1;48;7;G1X113XY;02;1950;1;1
3;18;6;G1X113XY;03;;1;
3;61;7;G1X116PY;01;;2;
3;66;7;G1X116PY;02;;1;
2;38;7;G1X116PY;03;;2;
1;33;7;G1X116PY;04;1550;2;1
1;31;3;G1X11C9Y;01;2300;1;1
